Epoch 0, RMSE 0.920507904715
Epoch 1, RMSE 0.903835567434
Epoch 2, RMSE 0.953949655723
Epoch 3, RMSE 0.983729239369
Epoch 4, RMSE 0.995576202997
Epoch 5, RMSE 1.00780866394
Epoch 6, RMSE 1.01612044162
Epoch 7, RMSE 1.02561434119
Epoch 8, RMSE 1.01809358142
Epoch 9, RMSE 1.01316562166
Epoch 10, RMSE 1.01283317138
Epoch 11, RMSE 1.00681185424
Epoch 12, RMSE 1.00215159049
Epoch 13, RMSE 1.00339757689
Epoch 14, RMSE 0.986207137431
Epoch 15, RMSE 0.990782205153
Epoch 16, RMSE 0.995623594845
Epoch 17, RMSE 0.979899231818
Epoch 18, RMSE 0.981767218922
Epoch 19, RMSE 0.991651345623
