Epoch 0, RMSE 1.37264265035
Epoch 1, RMSE 1.06536208427
Epoch 2, RMSE 1.00401926043
Epoch 3, RMSE 0.976807146412
Epoch 4, RMSE 0.960016115838
Epoch 5, RMSE 0.950586172866
Epoch 6, RMSE 0.942423048644
Epoch 7, RMSE 0.934080439393
Epoch 8, RMSE 0.927106274306
Epoch 9, RMSE 0.922555835106
Epoch 10, RMSE 0.917197471281
Epoch 11, RMSE 0.914747632014
Epoch 12, RMSE 0.912661356687
Epoch 13, RMSE 0.910453755472
Epoch 14, RMSE 0.9089060968
Epoch 15, RMSE 0.907944849362
Epoch 16, RMSE 0.906114027517
Epoch 17, RMSE 0.905970911726
Epoch 18, RMSE 0.904414960162
Epoch 19, RMSE 0.903848560118
Epoch 20, RMSE 0.903203222993
Epoch 21, RMSE 0.90267206979
Epoch 22, RMSE 0.901820154724
Epoch 23, RMSE 0.901979258507
Epoch 24, RMSE 0.901276335181
Epoch 25, RMSE 0.899984054166
Epoch 26, RMSE 0.899373369749
Epoch 27, RMSE 0.898615526678
Epoch 28, RMSE 0.898860126252
Epoch 29, RMSE 0.898536241871
