Epoch 0, RMSE 0.905399317034
Epoch 1, RMSE 0.884415253489
Epoch 2, RMSE 0.888541080129
Epoch 3, RMSE 0.889928692189
Epoch 4, RMSE 0.900523947867
Epoch 5, RMSE 0.902054675925
Epoch 6, RMSE 0.911199842988
Epoch 7, RMSE 0.916226417967
Epoch 8, RMSE 0.917003238895
Epoch 9, RMSE 0.929469810049
Epoch 10, RMSE 0.935649808482
Epoch 11, RMSE 0.926056593005
Epoch 12, RMSE 0.934329651303
Epoch 13, RMSE 0.942903228425
Epoch 14, RMSE 0.940627216502
Epoch 15, RMSE 0.955696708195
Epoch 16, RMSE 0.947984577618
Epoch 17, RMSE 0.946159744282
Epoch 18, RMSE 0.961897781312
Epoch 19, RMSE 0.947313011576
Epoch 20, RMSE 0.957812526676
Epoch 21, RMSE 0.957502319218
Epoch 22, RMSE 0.944640031438
Epoch 23, RMSE 0.964348328021
Epoch 24, RMSE 0.960712420425
Epoch 25, RMSE 0.944735401995
Epoch 26, RMSE 0.958737658315
Epoch 27, RMSE 0.951264453551
Epoch 28, RMSE 0.967412620241
Epoch 29, RMSE 0.962669703682
Epoch 30, RMSE 0.948259358174
Epoch 31, RMSE 0.964716843138
Epoch 32, RMSE 0.969056668786
Epoch 33, RMSE 0.950079193808
Epoch 34, RMSE 0.952734030023
Epoch 35, RMSE 0.948480453312
Epoch 36, RMSE 0.940038853583
Epoch 37, RMSE 0.948381087454
Epoch 38, RMSE 0.950998789193
Epoch 39, RMSE 0.968744516989
Epoch 40, RMSE 0.948473867762
Epoch 41, RMSE 0.965863247547
Epoch 42, RMSE 0.968860271544
Epoch 43, RMSE 0.951745568079
Epoch 44, RMSE 0.957871158667
Epoch 45, RMSE 0.955534860903
Epoch 46, RMSE 0.952221127356
Epoch 47, RMSE 0.950017821887
Epoch 48, RMSE 0.939277797327
Epoch 49, RMSE 0.95735871473
