Epoch 0, RMSE 1.3720901946
Epoch 1, RMSE 1.06589430081
Epoch 2, RMSE 1.00521692924
Epoch 3, RMSE 0.977387210274
Epoch 4, RMSE 0.96185847982
Epoch 5, RMSE 0.950930642596
Epoch 6, RMSE 0.94380239523
Epoch 7, RMSE 0.936074712273
Epoch 8, RMSE 0.929283174133
Epoch 9, RMSE 0.924439779123
Epoch 10, RMSE 0.919895383198
Epoch 11, RMSE 0.917131623977
Epoch 12, RMSE 0.914861053135
Epoch 13, RMSE 0.913488889783
Epoch 14, RMSE 0.911597178855
Epoch 15, RMSE 0.9094965912
Epoch 16, RMSE 0.909078558317
Epoch 17, RMSE 0.907741191644
Epoch 18, RMSE 0.907077442
Epoch 19, RMSE 0.906284799
Epoch 20, RMSE 0.90582188043
