Epoch 0, RMSE 1.37283966533
Epoch 1, RMSE 1.06509918727
Epoch 2, RMSE 1.00501735515
Epoch 3, RMSE 0.976514206447
Epoch 4, RMSE 0.960769602979
Epoch 5, RMSE 0.950176139222
Epoch 6, RMSE 0.942187947412
Epoch 7, RMSE 0.933751350804
Epoch 8, RMSE 0.927259566661
Epoch 9, RMSE 0.922136246307
Epoch 10, RMSE 0.918656331167
Epoch 11, RMSE 0.914966585608
Epoch 12, RMSE 0.912380531196
Epoch 13, RMSE 0.911127023769
Epoch 14, RMSE 0.909374110826
Epoch 15, RMSE 0.90830051923
Epoch 16, RMSE 0.906876051464
Epoch 17, RMSE 0.906039342969
Epoch 18, RMSE 0.904659938345
Epoch 19, RMSE 0.903745367165
Epoch 20, RMSE 0.903954883701
