Epoch 0, RMSE 1.3726688137
Epoch 1, RMSE 1.06490564631
Epoch 2, RMSE 1.00455477313
Epoch 3, RMSE 0.976737392705
Epoch 4, RMSE 0.960282191244
Epoch 5, RMSE 0.949772494045
Epoch 6, RMSE 0.941984343249
Epoch 7, RMSE 0.934415837061
Epoch 8, RMSE 0.927455689124
Epoch 9, RMSE 0.922747647623
Epoch 10, RMSE 0.918263318556
Epoch 11, RMSE 0.914736118595
Epoch 12, RMSE 0.912872294206
Epoch 13, RMSE 0.910284908458
Epoch 14, RMSE 0.909679072196
Epoch 15, RMSE 0.908163489589
Epoch 16, RMSE 0.906477041852
Epoch 17, RMSE 0.905678699198
Epoch 18, RMSE 0.905010092196
Epoch 19, RMSE 0.903907587
Epoch 20, RMSE 0.90324492832
Epoch 21, RMSE 0.90325479561
Epoch 22, RMSE 0.901357095862
Epoch 23, RMSE 0.901562115941
Epoch 24, RMSE 0.901708566673
Epoch 25, RMSE 0.900409843129
Epoch 26, RMSE 0.900436764219
Epoch 27, RMSE 0.898257632563
Epoch 28, RMSE 0.899472238481
Epoch 29, RMSE 0.899278080456
Epoch 30, RMSE 0.897810522626
Epoch 31, RMSE 0.897275110409
Epoch 32, RMSE 0.897046953995
Epoch 33, RMSE 0.896618360617
Epoch 34, RMSE 0.895530586778
Epoch 35, RMSE 0.895209433694
Epoch 36, RMSE 0.89430032653
Epoch 37, RMSE 0.895331142863
Epoch 38, RMSE 0.893463221377
Epoch 39, RMSE 0.894537671685
Epoch 40, RMSE 0.893495364562
Epoch 41, RMSE 0.894390938552
Epoch 42, RMSE 0.894345335864
Epoch 43, RMSE 0.894853963627
Epoch 44, RMSE 0.892787109308
Epoch 45, RMSE 0.892846433677
Epoch 46, RMSE 0.892758635447
Epoch 47, RMSE 0.891676436132
Epoch 48, RMSE 0.893301745261
Epoch 49, RMSE 0.891898042203
Epoch 50, RMSE 0.890627965649
