Epoch 0, RMSE 0.907913047327
Epoch 1, RMSE 0.899705683851
Epoch 2, RMSE 0.902466017129
Epoch 3, RMSE 0.906126538588
Epoch 4, RMSE 0.90870315273
Epoch 5, RMSE 0.922180963654
Epoch 6, RMSE 0.948888106978
Epoch 7, RMSE 0.980008545285
Epoch 8, RMSE 0.975579240573
Epoch 9, RMSE 0.994032302464
Epoch 10, RMSE 0.990703109769
Epoch 11, RMSE 1.00688753084
Epoch 12, RMSE 1.00944811526
Epoch 13, RMSE 1.00868948069
Epoch 14, RMSE 1.00372368317
Epoch 15, RMSE 1.00390532577
Epoch 16, RMSE 1.02110165168
Epoch 17, RMSE 1.02133419374
Epoch 18, RMSE 1.01960571651
Epoch 19, RMSE 1.02351493192
Epoch 20, RMSE 1.01876800364
Epoch 21, RMSE 1.01209686836
Epoch 22, RMSE 1.03534148081
Epoch 23, RMSE 1.01615057496
Epoch 24, RMSE 1.03208568844
Epoch 25, RMSE 1.02140011156
Epoch 26, RMSE 1.01949043804
Epoch 27, RMSE 1.02422348307
Epoch 28, RMSE 1.03277943167
Epoch 29, RMSE 1.02306217374
Epoch 30, RMSE 1.03160023538
Epoch 31, RMSE 1.02249171368
Epoch 32, RMSE 1.02356844904
Epoch 33, RMSE 1.04047913446
Epoch 34, RMSE 1.02691148384
Epoch 35, RMSE 1.02867226294
Epoch 36, RMSE 1.01522674103
Epoch 37, RMSE 1.0155213221
Epoch 38, RMSE 1.00449078891
Epoch 39, RMSE 1.031600093
Epoch 40, RMSE 1.02735930257
Epoch 41, RMSE 1.00571710446
Epoch 42, RMSE 1.02016090716
Epoch 43, RMSE 1.02078370921
Epoch 44, RMSE 1.02215944623
Epoch 45, RMSE 1.01198649891
Epoch 46, RMSE 1.02254789774
Epoch 47, RMSE 1.01263876704
Epoch 48, RMSE 0.999756858728
Epoch 49, RMSE 1.03087954064
