Epoch 0, RMSE 1.37287795178
Epoch 1, RMSE 0.941135894671
Epoch 2, RMSE 0.917298882543
Epoch 3, RMSE 0.907853972681
Epoch 4, RMSE 0.903695751846
Epoch 5, RMSE 0.901512523541
Epoch 6, RMSE 0.898595597921
Epoch 7, RMSE 0.896585266055
Epoch 8, RMSE 0.89430811841
Epoch 9, RMSE 0.897863792478
Epoch 10, RMSE 0.898495203067
Epoch 11, RMSE 0.905278632209
Epoch 12, RMSE 0.909100942825
Epoch 13, RMSE 0.910688568202
Epoch 14, RMSE 0.914516634559
Epoch 15, RMSE 0.92216524442
Epoch 16, RMSE 0.924571181369
Epoch 17, RMSE 0.925670720524
Epoch 18, RMSE 0.92554789469
Epoch 19, RMSE 0.931413092417
Epoch 20, RMSE 0.9355275505
