Epoch 0, RMSE 1.37216549931
Epoch 1, RMSE 0.943143194444
Epoch 2, RMSE 0.919900899946
Epoch 3, RMSE 0.91071737641
Epoch 4, RMSE 0.907512209815
Epoch 5, RMSE 0.904810080769
Epoch 6, RMSE 0.901843678137
Epoch 7, RMSE 0.898616076013
Epoch 8, RMSE 0.899095146581
Epoch 9, RMSE 0.900950094263
Epoch 10, RMSE 0.903560914115
Epoch 11, RMSE 0.909292820673
Epoch 12, RMSE 0.914240139445
Epoch 13, RMSE 0.915081020177
Epoch 14, RMSE 0.919395754934
Epoch 15, RMSE 0.924207319496
Epoch 16, RMSE 0.933236813526
Epoch 17, RMSE 0.931882174341
Epoch 18, RMSE 0.935581861526
Epoch 19, RMSE 0.9400903414
Epoch 20, RMSE 0.94447288262
