Epoch 0, RMSE 1.2299794448
Epoch 1, RMSE 0.952989893746
Epoch 2, RMSE 0.955681439296
Epoch 3, RMSE 0.941072771686
Epoch 4, RMSE 0.930772582666
Epoch 5, RMSE 0.925064128648
Epoch 6, RMSE 0.921485748145
Epoch 7, RMSE 0.924090507498
Epoch 8, RMSE 0.920337226664
Epoch 9, RMSE 0.923307198638
Epoch 10, RMSE 0.917764269559
Epoch 11, RMSE 0.917677336797
Epoch 12, RMSE 0.914104894986
Epoch 13, RMSE 0.911228599321
Epoch 14, RMSE 0.915275844874
Epoch 15, RMSE 0.913373079421
Epoch 16, RMSE 0.917686077926
Epoch 17, RMSE 0.918625014169
Epoch 18, RMSE 0.924803742243
Epoch 19, RMSE 0.923173133095
Epoch 20, RMSE 0.920887955597
Epoch 21, RMSE 0.931302689094
Epoch 22, RMSE 0.926610204624
Epoch 23, RMSE 0.927095069814
Epoch 24, RMSE 0.929209811197
Epoch 25, RMSE 0.928766211982
Epoch 26, RMSE 0.937345898902
Epoch 27, RMSE 0.933727900759
Epoch 28, RMSE 0.929491499701
Epoch 29, RMSE 0.937966646905
Epoch 30, RMSE 0.92637015421
Epoch 31, RMSE 0.940123297471
Epoch 32, RMSE 0.941610821186
Epoch 33, RMSE 0.947147352483
Epoch 34, RMSE 0.949586562973
Epoch 35, RMSE 0.951007763684
Epoch 36, RMSE 0.942421950425
Epoch 37, RMSE 0.948566838006
Epoch 38, RMSE 0.948946771221
Epoch 39, RMSE 0.937058833374
Epoch 40, RMSE 0.948761591666
Epoch 41, RMSE 0.958622874624
Epoch 42, RMSE 0.952464693315
Epoch 43, RMSE 0.948534832235
Epoch 44, RMSE 0.953891229152
Epoch 45, RMSE 0.954813854415
Epoch 46, RMSE 0.952335950115
Epoch 47, RMSE 0.960357735168
Epoch 48, RMSE 0.956617768142
Epoch 49, RMSE 0.961364960346
