Epoch 0, RMSE 0.900060826953
Epoch 1, RMSE 0.88869639907
Epoch 2, RMSE 0.888545078228
Epoch 3, RMSE 0.885375526484
Epoch 4, RMSE 0.895765315203
Epoch 5, RMSE 0.897683166105
Epoch 6, RMSE 0.909052627669
Epoch 7, RMSE 0.93067811098
Epoch 8, RMSE 0.947518794001
Epoch 9, RMSE 0.930790288863
Epoch 10, RMSE 0.947601831085
Epoch 11, RMSE 0.952125908674
Epoch 12, RMSE 0.951667210578
Epoch 13, RMSE 0.947028092317
Epoch 14, RMSE 0.98115504671
Epoch 15, RMSE 0.968904260821
Epoch 16, RMSE 0.960648370301
Epoch 17, RMSE 0.963207617691
Epoch 18, RMSE 0.961159478091
Epoch 19, RMSE 0.959010216425
Epoch 20, RMSE 0.96822064326
Epoch 21, RMSE 0.959226791177
Epoch 22, RMSE 0.969105278165
Epoch 23, RMSE 0.971348041312
Epoch 24, RMSE 0.954631046838
Epoch 25, RMSE 0.962430696377
Epoch 26, RMSE 0.962280495782
Epoch 27, RMSE 0.96858100719
Epoch 28, RMSE 0.965128368956
Epoch 29, RMSE 0.974804489982
Epoch 30, RMSE 0.944429396397
Epoch 31, RMSE 0.962374789484
Epoch 32, RMSE 0.975419459448
Epoch 33, RMSE 0.944987230078
Epoch 34, RMSE 0.9535431678
Epoch 35, RMSE 0.959947545734
Epoch 36, RMSE 0.945032574847
Epoch 37, RMSE 0.972780040094
Epoch 38, RMSE 0.969346436011
Epoch 39, RMSE 0.959285755042
Epoch 40, RMSE 0.975919690476
Epoch 41, RMSE 0.965621412512
Epoch 42, RMSE 0.96779638795
Epoch 43, RMSE 0.977490804474
Epoch 44, RMSE 0.967039394004
Epoch 45, RMSE 0.96149641543
Epoch 46, RMSE 0.964860547372
Epoch 47, RMSE 0.963893517565
Epoch 48, RMSE 0.958565648518
Epoch 49, RMSE 0.9612388746
