Epoch 0, RMSE 1.3719956394
Epoch 1, RMSE 1.06592645644
Epoch 2, RMSE 1.00499093187
Epoch 3, RMSE 0.97731137602
Epoch 4, RMSE 0.962086952183
Epoch 5, RMSE 0.951899026697
Epoch 6, RMSE 0.944091204529
Epoch 7, RMSE 0.936254535347
Epoch 8, RMSE 0.929500583441
Epoch 9, RMSE 0.924364602036
Epoch 10, RMSE 0.919617805735
Epoch 11, RMSE 0.918165898283
Epoch 12, RMSE 0.914649396655
Epoch 13, RMSE 0.913563696365
Epoch 14, RMSE 0.910972974593
Epoch 15, RMSE 0.910092196021
Epoch 16, RMSE 0.909208832833
Epoch 17, RMSE 0.907878573247
Epoch 18, RMSE 0.906681573416
Epoch 19, RMSE 0.906274865902
Epoch 20, RMSE 0.905405474615
