Epoch 0, RMSE 0.975912758169
Epoch 1, RMSE 0.928747755233
Epoch 2, RMSE 0.905358134443
Epoch 3, RMSE 0.90628909996
Epoch 4, RMSE 0.911430764835
Epoch 5, RMSE 0.920938561256
Epoch 6, RMSE 0.919221415321
Epoch 7, RMSE 0.921203957848
Epoch 8, RMSE 0.919946849724
Epoch 9, RMSE 0.919944315621
Epoch 10, RMSE 0.920625794314
Epoch 11, RMSE 0.916306692612
Epoch 12, RMSE 0.917372566489
Epoch 13, RMSE 0.917790009513
Epoch 14, RMSE 0.9191527147
Epoch 15, RMSE 0.917343161706
Epoch 16, RMSE 0.916787171655
Epoch 17, RMSE 0.915988483777
Epoch 18, RMSE 0.917644223239
Epoch 19, RMSE 0.916030905618
