Epoch 0, RMSE 1.37197483618
Epoch 1, RMSE 0.942630863524
Epoch 2, RMSE 0.919860532448
Epoch 3, RMSE 0.910513223671
Epoch 4, RMSE 0.90631178695
Epoch 5, RMSE 0.903744132805
Epoch 6, RMSE 0.902067114649
Epoch 7, RMSE 0.899118463413
Epoch 8, RMSE 0.897715336854
Epoch 9, RMSE 0.900546091305
Epoch 10, RMSE 0.901454465546
Epoch 11, RMSE 0.903512107115
Epoch 12, RMSE 0.907645157206
Epoch 13, RMSE 0.911867577421
Epoch 14, RMSE 0.917619815302
Epoch 15, RMSE 0.920008204721
Epoch 16, RMSE 0.923704498888
Epoch 17, RMSE 0.927936138222
Epoch 18, RMSE 0.932117874
Epoch 19, RMSE 0.935131624796
Epoch 20, RMSE 0.935536013844
