Epoch 0, RMSE 1.37241514154
Epoch 1, RMSE 0.940977743922
Epoch 2, RMSE 0.916497784011
Epoch 3, RMSE 0.908454198395
Epoch 4, RMSE 0.903660846331
Epoch 5, RMSE 0.901713759672
Epoch 6, RMSE 0.899250074338
Epoch 7, RMSE 0.894318867039
Epoch 8, RMSE 0.893851059383
Epoch 9, RMSE 0.894437376986
Epoch 10, RMSE 0.897271217676
Epoch 11, RMSE 0.90056083918
Epoch 12, RMSE 0.904371322005
Epoch 13, RMSE 0.907390102113
Epoch 14, RMSE 0.912714620523
Epoch 15, RMSE 0.914399804974
Epoch 16, RMSE 0.920221085834
Epoch 17, RMSE 0.917723131802
Epoch 18, RMSE 0.92427406784
Epoch 19, RMSE 0.923933586653
Epoch 20, RMSE 0.927512979176
